Time,limits.TSoftUp,limits.TSoftDown,limits.THardUp,limits.THardDown,limits.Tavg
0,301.45,289.45,301.95,288.95,295.45
3600,301.45,289.45,301.95,288.95,295.45
7200,301.45,289.45,301.95,288.95,295.45
10800,301.45,289.45,301.95,288.95,295.45
14400,301.45,289.45,301.95,288.95,295.45
18000,296.45,294.45,296.95,293.95,295.45
21600,296.45,294.45,296.95,293.95,295.45
25200,296.45,294.45,296.95,293.95,295.45
28800,296.45,294.45,296.95,293.95,295.45
32400,296.45,294.45,296.95,293.95,295.45
36000,296.45,294.45,296.95,293.95,295.45
39600,296.45,294.45,296.95,293.95,295.45
43200,296.45,294.45,296.95,293.95,295.45
46800,296.45,294.45,296.95,293.95,295.45
50400,296.45,294.45,296.95,293.95,295.45
54000,296.45,294.45,296.95,293.95,295.45
57600,296.45,294.45,296.95,293.95,295.45
61200,296.45,294.45,296.95,293.95,295.45
64800,296.45,294.45,296.95,293.95,295.45
68400,301.45,289.45,301.95,288.95,295.45
72000,301.45,289.45,301.95,288.95,295.45
75600,301.45,289.45,301.95,288.95,295.45
79200,301.45,289.45,301.95,288.95,295.45
82800,301.45,289.45,301.95,288.95,295.45
86400,301.40997,289.40997,301.90997,288.90997,295.40997
90000,301.40997,289.40997,301.90997,288.90997,295.40997
93600,301.40997,289.40997,301.90997,288.90997,295.40997
97200,301.40997,289.40997,301.90997,288.90997,295.40997
100800,301.40997,289.40997,301.90997,288.90997,295.40997
104400,296.40997,294.40997,296.90997,293.90997,295.40997
108000,296.40997,294.40997,296.90997,293.90997,295.40997
111600,296.40997,294.40997,296.90997,293.90997,295.40997
115200,296.40997,294.40997,296.90997,293.90997,295.40997
118800,296.40997,294.40997,296.90997,293.90997,295.40997
122400,296.40997,294.40997,296.90997,293.90997,295.40997
126000,296.40997,294.40997,296.90997,293.90997,295.40997
129600,296.40997,294.40997,296.90997,293.90997,295.40997
133200,296.40997,294.40997,296.90997,293.90997,295.40997
136800,296.40997,294.40997,296.90997,293.90997,295.40997
140400,296.40997,294.40997,296.90997,293.90997,295.40997
144000,296.40997,294.40997,296.90997,293.90997,295.40997
