time,UpperCO2[3rdFlrSZ],UpperCO2[3rdMT],UpperCO2[2ndFlrNZ],UpperCO2[2ndFlrSZ],UpperCO2[2ndFlrMT1],UpperCO2[2ndFlrMT2],UpperCO2[1stFlrNZ],UpperCO2[1stFlrSZ1],UpperCO2[1stFlrSZ2],UpperCO2[1stFlrMT1],UpperCO2[1stFlrMT2],UpperCO2[GndFlrKT],UpperCO2[GndFlrMT1],UpperCO2[GndFlrMT2]
0,900,900,900,900,900,900,900,900,900,900,900,900,900,900
3600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
7200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
10800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
14400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
18000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
21600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
25200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
28800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
32400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
36000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
39600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
43200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
46800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
50400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
54000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
57600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
61200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
64800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
68400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
72000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
75600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
79200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
82800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
86400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
90000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
93600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
97200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
100800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
104400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
108000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
111600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
115200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
118800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
122400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
126000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
129600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
133200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
136800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
140400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
144000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
147600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
151200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
154800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
158400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
162000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
165600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
169200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
172800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
176400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
180000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
183600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
187200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
190800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
194400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
198000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
201600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
205200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
208800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
212400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
216000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
219600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
223200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
226800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
230400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
234000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
237600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
241200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
244800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
248400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
252000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
255600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
259200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
262800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
266400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
270000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
273600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
277200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
280800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
284400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
288000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
291600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
295200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
298800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
302400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
306000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
309600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
313200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
316800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
320400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
324000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
327600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
331200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
334800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
338400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
342000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
345600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
349200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
352800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
356400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
360000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
363600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
367200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
370800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
374400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
378000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
381600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
385200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
388800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
392400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
396000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
399600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
403200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
406800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
410400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
414000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
417600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
421200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
424800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
428400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
432000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
435600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
439200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
442800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
446400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
450000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
453600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
457200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
460800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
464400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
468000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
471600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
475200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
478800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
482400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
486000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
489600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
493200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
496800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
500400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
504000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
507600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
511200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
514800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
518400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
522000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
525600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
529200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
532800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
536400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
540000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
543600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
547200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
550800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
554400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
558000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
561600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
565200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
568800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
572400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
576000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
579600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
583200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
586800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
590400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
594000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
597600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
601200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
604800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
608400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
612000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
615600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
619200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
622800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
626400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
630000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
633600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
637200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
640800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
644400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
648000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
651600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
655200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
658800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
662400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
666000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
669600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
673200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
676800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
680400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
684000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
687600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
691200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
694800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
698400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
702000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
705600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
709200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
712800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
716400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
720000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
723600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
727200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
730800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
734400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
738000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
741600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
745200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
748800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
752400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
756000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
759600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
763200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
766800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
770400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
774000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
777600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
781200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
784800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
788400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
792000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
795600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
799200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
802800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
806400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
810000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
813600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
817200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
820800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
824400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
828000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
831600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
835200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
838800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
842400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
846000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
849600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
853200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
856800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
860400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
864000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
867600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
871200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
874800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
