time,LowerSetp[3rdFlrSZ],UpperSetp[3rdFlrSZ],LowerSetp[3rdMT],UpperSetp[3rdFlrMT],LowerSetp[2ndFlrNZ],UpperSetp[2ndFlrNZ],LowerSetp[2ndFlrSZ],UpperSetp[2ndFlrSZ],LowerSetp[2ndFlrMT1],UpperSetp[2ndFlrMT1],LowerSetp[2ndFlrMT2],UpperSetp[2ndFlrMT2],LowerSetp[1stFlrNZ],UpperSetp[1stFlrNZ],LowerSetp[1stFlrSZ1],UpperSetp[1stFlrSZ1],LowerSetp[1stFlrSZ2],UpperSetp[1stFlrSZ2],LowerSetp[1stFlrMT1],UpperSetp[1stFlrMT1],LowerSetp[1stFlrMT2],UpperSetp[1stFlrMT2],LowerSetp[GndFlrKT],UpperSetp[GndFlrKT],LowerSetp[GndFlrMT1],UpperSetp[GndFlrMT1],LowerSetp[GndFlrMT2],UpperSetp[GndFlrMT2]
0,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
3600,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
7200,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
10800,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
14400,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
18000,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
21600,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
25200,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
28800,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
32400,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
36000,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
39600,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
43200,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
46800,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
50400,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
54000,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
57600,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
61200,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
64800,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95,296.95,293.95
68400,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
72000,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
75600,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
79200,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
82800,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95,301.95,288.95
86400,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
90000,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
93600,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
97200,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
100800,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
104400,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
108000,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
111600,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
115200,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
118800,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
122400,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
126000,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
129600,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
133200,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
136800,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
140400,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
144000,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
147600,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
151200,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997,296.90997,293.90997
154800,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
158400,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
162000,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
165600,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
169200,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997,301.90997,288.90997
172800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
176400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
180000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
183600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
187200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
190800,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65
194400,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65
198000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
201600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
205200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
208800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
212400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
216000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
219600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
223200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
226800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
230400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
234000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
237600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
241200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
244800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
