#1
double csv(52501,28)
# time	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	col11	col12	col13	col14	col15	col16	col17	col18	col19	col20	col21	col22	col23	col24	col25	col26	col27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166667	0	0	0	0	0	0	0
8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	0	0	0	0	0	0	0
9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	0	0	0	0	0	0	0
10200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833333	0	0	0	0	0	0	0
10800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
11400	0.166667	0	0	0	0	0.166667	0.166667	0	0	0	0.166667	0.166667	0.166667	0	0	0	0	0	0	1.5	0.833333	0.333333	0	0	0	0	0
12000	0.333333	0	0	0	0	0.333333	0.333333	0	0	0	0.333333	0.333333	0.333333	0	0	0	0	0	0	2	1.66667	0.666667	0	0	0	0	0
12600	0.5	0	0	0	0	0.5	0.5	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	2.5	2.5	1	0	0	0	0	0
13200	0.666667	0	0	0	0	0.666667	0.666667	0	0	0	0.666667	0.666667	0.666667	0	0	0	0	0	0	3	3.33333	1.33333	0	0	0	0	0
13800	0.833333	0	0	0	0	0.833333	0.833333	0	0	0	0.833333	0.833333	0.833333	0	0	0	0	0	0	3.5	4.16667	1.66667	0	0	0	0	0
14400	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	4	5	2	0	0	0	0	0
15000	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	3.83333	4.66667	1.83333	0	0	0	0	0
15600	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	3.66667	4.33333	1.66667	0	0	0	0	0
16200	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	3.5	4	1.5	0	0	0	0	0
16800	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	3.33333	3.66667	1.33333	0	0	0	0	0
17400	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	3.16667	3.33333	1.16667	0	0	0	0	0
18000	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	3	3	1	0	0	0	0	0
18600	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	4.16667	4.5	1.83333	0	0	0	0	0
19200	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	5.33333	6	2.66667	0	0	0	0	0
19800	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	6.5	7.5	3.5	0	0	0	0	0
20400	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	7.66667	9	4.33333	0	0	0	0	0
21000	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	8.83333	10.5	5.16667	0	0	0	0	0
21600	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	10	12	6	0	0	0	0	0
22200	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	9.5	11	5.5	0	0	0	0	0
22800	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	9	10	5	0	0	0	0	0
23400	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	8.5	9	4.5	0	0	0	0	0
24000	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	8	8	4	0	0	0	0	0
24600	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	7.5	7	3.5	0	0	0	0	0
25200	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	7	6	3	0	0	0	0	0
25800	1	0	0.166667	0	0	1	1	0.166667	0.166667	0	1	1	1	0.166667	0.166667	0	0	0	0	7.33333	6.16667	3	0	0	0	0	0
26400	1	0	0.333333	0	0	1	1	0.333333	0.333333	0	1	1	1	0.333333	0.333333	0	0	0	0	7.66667	6.33333	3	0	0	0	0	0
27000	1	0	0.5	0	0	1	1	0.5	0.5	0	1	1	1	0.5	0.5	0	0	0	0	8	6.5	3	0	0	0	0	0
27600	1	0	0.666667	0	0	1	1	0.666667	0.666667	0	1	1	1	0.666667	0.666667	0	0	0	0	8.33333	6.66667	3	0	0	0	0	0
28200	1	0	0.833333	0	0	1	1	0.833333	0.833333	0	1	1	1	0.833333	0.833333	0	0	0	0	8.66667	6.83333	3	0	0	0	0	0
28800	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	9	7	3	0	0	0	0	0
29400	1.66667	0	1	0	0	1.66667	1.66667	1	1	0	1.66667	1.66667	1.66667	1	1	0	0	0	0	9	7	3.16667	0	0	0	0	0
30000	2.33333	0	1	0	0	2.33333	2.33333	1	1	0	2.33333	2.33333	2.33333	1	1	0	0	0	0	9	7	3.33333	0	0	0	0	0
30600	3	0	1	0	0	3	3	1	1	0	3	3	3	1	1	0	0	0	0	9	7	3.5	0	0	0	0	0
31200	3.66667	0	1	0	0	3.66667	3.66667	1	1	0	3.66667	3.66667	3.66667	1	1	0	0	0	0	9	7	3.66667	0	0	0	0	0
31800	4.33333	0	1	0	0	4.33333	4.33333	1	1	0	4.33333	4.33333	4.33333	1	1	0	0	0	0	9	7	3.83333	0	0	0	0	0
32400	5	0	1	0	0	5	5	1	1	0	5	5	5	1	1	0	0	0	0	9	7	4	0	0	0	0	0
33000	6.16667	0	1.16667	0	0	6.16667	6.16667	1.16667	1.16667	0	6.16667	6.16667	6.16667	1.16667	1.16667	0	0	0	0	9	7	4	0	0	0	0	0
33600	7.33333	0	1.33333	0	0	7.33333	7.33333	1.33333	1.33333	0	7.33333	7.33333	7.33333	1.33333	1.33333	0	0	0	0	9	7	4	0	0	0	0	0
34200	8.5	0	1.5	0	0	8.5	8.5	1.5	1.5	0	8.5	8.5	8.5	1.5	1.5	0	0	0	0	9	7	4	0	0	0	0	0
34800	9.66667	0	1.66667	0	0	9.66667	9.66667	1.66667	1.66667	0	9.66667	9.66667	9.66667	1.66667	1.66667	0	0	0	0	9	7	4	0	0	0	0	0
35400	10.8333	0	1.83333	0	0	10.8333	10.8333	1.83333	1.83333	0	10.8333	10.8333	10.8333	1.83333	1.83333	0	0	0	0	9	7	4	0	0	0	0	0
36000	12	0	2	0	0	12	12	2	2	0	12	12	12	2	2	0	0	0	0	9	7	4	0	0	0	0	0
36600	12	0	2.16667	0	0	12	12	2.16667	2.16667	0	12	12	12	2.16667	2.16667	0	0	0	0	8.33333	6.83333	4.16667	0	0	0	0	0
37200	12	0	2.33333	0	0	12	12	2.33333	2.33333	0	12	12	12	2.33333	2.33333	0	0	0	0	7.66667	6.66667	4.33333	0	0	0	0	0
37800	12	0	2.5	0	0	12	12	2.5	2.5	0	12	12	12	2.5	2.5	0	0	0	0	7	6.5	4.5	0	0	0	0	0
38400	12	0	2.66667	0	0	12	12	2.66667	2.66667	0	12	12	12	2.66667	2.66667	0	0	0	0	6.33333	6.33333	4.66667	0	0	0	0	0
39000	12	0	2.83333	0	0	12	12	2.83333	2.83333	0	12	12	12	2.83333	2.83333	0	0	0	0	5.66667	6.16667	4.83333	0	0	0	0	0
39600	12	0	3	0	0	12	12	3	3	0	12	12	12	3	3	0	0	0	0	5	6	5	0	0	0	0	0
40200	11.8333	0	2.83333	0	0	11.8333	11.8333	2.83333	2.83333	0	11.8333	11.8333	11.8333	2.83333	2.83333	0	0	0	0	5.16667	5.83333	4.66667	0	0	0	0	0
40800	11.6667	0	2.66667	0	0	11.6667	11.6667	2.66667	2.66667	0	11.6667	11.6667	11.6667	2.66667	2.66667	0	0	0	0	5.33333	5.66667	4.33333	0	0	0	0	0
41400	11.5	0	2.5	0	0	11.5	11.5	2.5	2.5	0	11.5	11.5	11.5	2.5	2.5	0	0	0	0	5.5	5.5	4	0	0	0	0	0
42000	11.3333	0	2.33333	0	0	11.3333	11.3333	2.33333	2.33333	0	11.3333	11.3333	11.3333	2.33333	2.33333	0	0	0	0	5.66667	5.33333	3.66667	0	0	0	0	0
42600	11.1667	0	2.16667	0	0	11.1667	11.1667	2.16667	2.16667	0	11.1667	11.1667	11.1667	2.16667	2.16667	0	0	0	0	5.83333	5.16667	3.33333	0	0	0	0	0
43200	11	0	2	0	0	11	11	2	2	0	11	11	11	2	2	0	0	0	0	6	5	3	0	0	0	0	0
43800	11	0	2	0	0	11	11	2	2	0	11	11	11	2	2	0	0	0	0	8	5.33333	2.83333	0	0	0	0	0
44400	11	0	2	0	0	11	11	2	2	0	11	11	11	2	2	0	0	0	0	10	5.66667	2.66667	0	0	0	0	0
45000	11	0	2	0	0	11	11	2	2	0	11	11	11	2	2	0	0	0	0	12	6	2.5	0	0	0	0	0
45600	11	0	2	0	0	11	11	2	2	0	11	11	11	2	2	0	0	0	0	14	6.33333	2.33333	0	0	0	0	0
46200	11	0	2	0	0	11	11	2	2	0	11	11	11	2	2	0	0	0	0	16	6.66667	2.16667	0	0	0	0	0
46800	11	0	2	0	0	11	11	2	2	0	11	11	11	2	2	0	0	0	0	18	7	2	0	0	0	0	0
47400	10.6667	0	1.83333	0	0	10.6667	10.6667	1.83333	1.83333	0	10.6667	10.6667	10.6667	1.83333	1.83333	0	0	0	0	16.8333	6.83333	1.83333	0	0	0	0	0
48000	10.3333	0	1.66667	0	0	10.3333	10.3333	1.66667	1.66667	0	10.3333	10.3333	10.3333	1.66667	1.66667	0	0	0	0	15.6667	6.66667	1.66667	0	0	0	0	0
