time,EmissionsElectricPower
0,0.42
3600,0.42
7200,0.42
10800,0.42
14400,0.42
18000,0.42
21600,0.42
25200,0.42
28800,0.42
32400,0.42
36000,0.42
39600,0.42
43200,0.42
46800,0.42
50400,0.42
54000,0.42
57600,0.42
61200,0.42
64800,0.42
68400,0.42
72000,0.42
75600,0.42
79200,0.42
82800,0.42
86400,0.42
90000,0.42
93600,0.42
97200,0.42
100800,0.42
104400,0.42
108000,0.42
111600,0.42
115200,0.42
118800,0.42
122400,0.42
126000,0.42
129600,0.42
133200,0.42
136800,0.42
140400,0.42
144000,0.42
147600,0.42
151200,0.42
154800,0.42
158400,0.42
162000,0.42
165600,0.42
169200,0.42
172800,0.42
176400,0.42
180000,0.42
183600,0.42
187200,0.42
190800,0.42
194400,0.42
198000,0.42
201600,0.42
205200,0.42
208800,0.42
212400,0.42
216000,0.42
219600,0.42
223200,0.42
226800,0.42
230400,0.42
234000,0.42
237600,0.42
241200,0.42
244800,0.42
248400,0.42
252000,0.42
255600,0.42
259200,0.42
262800,0.42
266400,0.42
270000,0.42
273600,0.42
277200,0.42
280800,0.42
284400,0.42
288000,0.42
291600,0.42
295200,0.42
298800,0.42
302400,0.42
306000,0.42
309600,0.42
313200,0.42
316800,0.42
320400,0.42
324000,0.42
327600,0.42
331200,0.42
334800,0.42
338400,0.42
342000,0.42
345600,0.42
349200,0.42
352800,0.42
356400,0.42
360000,0.42
363600,0.42
367200,0.42
370800,0.42
374400,0.42
378000,0.42
381600,0.42
385200,0.42
388800,0.42
392400,0.42
396000,0.42
399600,0.42
403200,0.42
406800,0.42
410400,0.42
414000,0.42
417600,0.42
421200,0.42
424800,0.42
428400,0.42
432000,0.42
435600,0.42
439200,0.42
442800,0.42
446400,0.42
450000,0.42
453600,0.42
457200,0.42
460800,0.42
464400,0.42
468000,0.42
471600,0.42
475200,0.42
478800,0.42
482400,0.42
486000,0.42
489600,0.42
493200,0.42
496800,0.42
500400,0.42
504000,0.42
507600,0.42
511200,0.42
514800,0.42
518400,0.42
522000,0.42
525600,0.42
529200,0.42
532800,0.42
536400,0.42
540000,0.42
543600,0.42
547200,0.42
550800,0.42
554400,0.42
558000,0.42
561600,0.42
565200,0.42
568800,0.42
572400,0.42
576000,0.42
579600,0.42
583200,0.42
586800,0.42
590400,0.42
594000,0.42
597600,0.42
601200,0.42
604800,0.42
608400,0.42
612000,0.42
615600,0.42
619200,0.42
622800,0.42
626400,0.42
630000,0.42
633600,0.42
637200,0.42
640800,0.42
644400,0.42
648000,0.42
651600,0.42
655200,0.42
658800,0.42
662400,0.42
666000,0.42
669600,0.42
673200,0.42
676800,0.42
680400,0.42
684000,0.42
687600,0.42
691200,0.42
694800,0.42
698400,0.42
702000,0.42
