time,InternalGainsRad[3rdFlrSZ],InternalGainsRad[3rdMT],InternalGainsRad[2ndFlrNZ],InternalGainsRad[2ndFlrSZ],InternalGainsRad[2ndFlrMT1],InternalGainsRad[2ndFlrMT2],InternalGainsRad[1stFlrNZ],InternalGainsRad[1stFlrSZ1],InternalGainsRad[1stFlrSZ2],InternalGainsRad[1stFlrMT1],InternalGainsRad[1stFlrMT2],InternalGainsRad[GndFlrKT],InternalGainsRad[GndFlrMT1],InternalGainsRad[GndFlrMT2],InternalGainsCon[3rdFlrSZ],InternalGainsCon[3rdMT],InternalGainsCon[2ndFlrNZ],InternalGainsCon[2ndFlrSZ],InternalGainsCon[2ndFlrMT1],InternalGainsCon[2ndFlrMT2],InternalGainsCon[1stFlrNZ],InternalGainsCon[1stFlrSZ1],InternalGainsCon[1stFlrSZ2],InternalGainsCon[1stFlrMT1],InternalGainsCon[1stFlrMT2],InternalGainsCon[GndFlrKT],InternalGainsCon[GndFlrMT1],InternalGainsCon[GndFlrMT2],InternalGainsLat[3rdFlrSZ],InternalGainsLat[3rdMT],InternalGainsLat[2ndFlrNZ],InternalGainsLat[2ndFlrSZ],InternalGainsLat[2ndFlrMT1],InternalGainsLat[2ndFlrMT2],InternalGainsLat[1stFlrNZ],InternalGainsLat[1stFlrSZ1],InternalGainsLat[1stFlrSZ2],InternalGainsLat[1stFlrMT1],InternalGainsLat[1stFlrMT2],InternalGainsLat[GndFlrKT],InternalGainsLat[GndFlrMT1],InternalGainsLat[GndFlrMT2],InternalGainsRad[3rdFlrCP],InternalGainsRad[3rdFlrSMR],InternalGainsRad[1stFlrHALL],InternalGainsRad[GndFlrSRV],InternalGainsCon[3rdFlrCP],InternalGainsCon[3rdFlrSMR],InternalGainsCon[1stFlrHALL],InternalGainsCon[GndFlrSRV],
0,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
3600,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
7200,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
10800,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
14400,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
18000,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
21600,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
25200,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
28800,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
32400,153,9,102,141,0,9,51,51,51,0,9,120,0,0,357,21,238,329,0,21,119,119,119,0,21,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,240,0,21,0,560,0
