time,Occupancy[3rdFlrSZ],Occupancy[3rdMT],Occupancy[2ndFlrNZ],Occupancy[2ndFlrSZ],Occupancy[2ndFlrMT1],Occupancy[2ndFlrMT2],Occupancy[1stFlrNZ],Occupancy[1stFlrSZ1],Occupancy[1stFlrSZ2],Occupancy[1stFlrMT1],Occupancy[1stFlrMT2],Occupancy[GndFlrKT],Occupancy[GndFlrMT1],Occupancy[GndFlrMT2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284400,1,0,1,1,0,0,1,1,1,0,0,7,6,3
288000,1,1,1,1,1,1,1,1,1,1,1,9,7,3
291600,5,1,5,5,1,1,5,5,5,1,1,9,7,4
295200,12,2,12,12,2,2,12,12,12,2,2,9,7,4
298800,12,3,12,12,3,3,12,12,12,3,3,5,6,5
302400,11,2,11,11,2,2,11,11,11,2,2,6,5,3
306000,11,2,11,11,2,2,11,11,11,2,2,18,7,2
309600,9,1,9,9,1,1,9,9,9,1,1,11,6,1
313200,11,2,11,11,2,2,11,11,11,2,2,0,2,1
316800,11,1,11,11,1,1,11,11,11,1,1,0,9,2
320400,11,2,11,11,2,2,11,11,11,2,2,0,14,2
324000,9,1,9,9,1,1,9,9,9,1,1,0,10,2
327600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370800,1,0,1,1,0,0,1,1,1,0,0,5,4,2
374400,2,0,2,2,0,0,2,2,2,0,0,7,5,2
378000,7,1,7,7,1,1,7,7,7,1,1,8,7,3
381600,14,2,14,14,2,2,14,14,14,2,2,9,18,8
385200,15,2,15,15,2,2,15,15,15,2,2,6,18,12
388800,13,2,13,13,2,2,13,13,13,2,2,6,15,10
392400,11,1,11,11,1,1,11,11,11,1,1,20,10,5
396000,8,2,8,8,2,2,8,8,8,2,2,7,6,5
399600,10,2,10,10,2,2,10,10,10,2,2,0,8,5
403200,12,2,12,12,2,2,12,12,12,2,2,0,6,2
406800,13,1,13,13,1,1,13,13,13,1,1,0,4,1
410400,10,0,10,10,0,0,10,10,10,0,0,0,2,1
414000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457200,0,0,0,0,0,0,0,0,0,0,0,3,3,1
460800,1,0,1,1,0,0,1,1,1,0,0,6,4,2
464400,5,1,5,5,1,1,5,5,5,1,1,6,15,2
468000,14,1,14,14,1,1,14,14,14,1,1,7,26,3
471600,14,2,14,14,2,2,14,14,14,2,2,5,20,3
475200,17,2,17,17,2,2,17,17,17,2,2,5,14,5
478800,17,2,17,17,2,2,17,17,17,2,2,17,9,11
482400,16,1,16,16,1,1,16,16,16,1,1,9,5,6
486000,14,1,14,14,1,1,14,14,14,1,1,0,6,1
489600,16,1,16,16,1,1,16,16,16,1,1,0,4,1
493200,16,1,16,16,1,1,16,16,16,1,1,1,3,1
496800,13,1,13,13,1,1,13,13,13,1,1,2,2,1
500400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543600,0,0,0,0,0,0,0,0,0,0,0,3,3,1
547200,1,0,1,1,0,0,1,1,1,0,0,5,3,2
550800,4,1,4,4,1,1,4,4,4,1,1,5,4,2
554400,13,1,13,13,1,1,13,13,13,1,1,6,4,3
558000,16,1,16,16,1,1,16,16,16,1,1,4,5,3
561600,15,1,15,15,1,1,15,15,15,1,1,6,5,2
565200,13,1,13,13,1,1,13,13,13,1,1,17,5,1
568800,9,0,9,9,0,0,9,9,9,0,0,8,4,1
572400,10,1,10,10,1,1,10,10,10,1,1,0,2,1
576000,13,1,13,13,1,1,13,13,13,1,1,0,0,0
579600,12,1,12,12,1,1,12,12,12,1,1,1,0,0
583200,9,1,9,9,1,1,9,9,9,1,1,3,1,2
586800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630000,0,0,0,0,0,0,0,0,0,0,0,3,3,1
633600,1,0,1,1,0,0,1,1,1,0,0,5,4,1
637200,3,0,3,3,0,0,3,3,3,0,0,5,14,2
640800,11,1,11,11,1,1,11,11,11,1,1,6,23,2
644400,14,2,14,14,2,2,14,14,14,2,2,3,11,3
648000,13,2,13,13,2,2,13,13,13,2,2,4,5,2
651600,11,1,11,11,1,1,11,11,11,1,1,15,4,1
655200,8,0,8,8,0,0,8,8,8,0,0,8,3,1
658800,11,1,11,11,1,1,11,11,11,1,1,0,4,1
662400,11,1,11,11,1,1,11,11,11,1,1,0,3,0
666000,11,0,11,11,0,0,11,11,11,0,0,0,3,0
669600,10,0,10,10,0,0,10,10,10,0,0,3,3,0
673200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
