Time,occupancy.y[1],ou44Bdg.qGai_flow[1],ou44Bdg.qGai_flow[2],ou44Bdg.qGai_flow[3],conPIDrad.u_s
0,1,0.0056470586,0.0056470586,0.0028235293,288.15
300,1.0417246,0.0058826804,0.0058826804,0.0029413402,288.15
600,1.0834492,0.006118302,0.006118302,0.003059151,288.15
900,1.1251738,0.006353923,0.006353923,0.0031769616,288.15
1200,1.1668985,0.0065895445,0.0065895445,0.0032947722,288.15
1500,1.208623,0.006825166,0.006825166,0.003412583,288.15
1800,1.2503477,0.007060787,0.007060787,0.0035303936,288.15
2100,1.2920723,0.0072964085,0.0072964085,0.0036482043,288.15
2400,1.333797,0.00753203,0.00753203,0.003766015,288.15
2700,1.3755215,0.007767651,0.007767651,0.0038838256,288.15
3000,1.4172462,0.008003272,0.008003272,0.004001636,288.15
3300,1.4589708,0.008238894,0.008238894,0.004119447,288.15
3600,1.5006955,0.008474515,0.008474515,0.0042372574,288.15
3900,1.54242,0.008710137,0.008710137,0.0043550683,288.15
4200,1.5841446,0.008945758,0.008945758,0.004472879,288.15
4500,1.6258693,0.009181379,0.009181379,0.0045906897,288.15
4800,1.6675938,0.009417001,0.009417001,0.0047085006,288.15
5100,1.7093185,0.009652622,0.009652622,0.004826311,288.15
5400,1.7510431,0.009888244,0.009888244,0.004944122,288.15
5700,1.7927678,0.010123865,0.010123865,0.0050619324,288.15
6000,1.8344923,0.010359487,0.010359487,0.0051797433,288.15
6300,1.876217,0.010595107,0.010595107,0.0052975537,288.15
6600,1.9179416,0.010830729,0.010830729,0.0054153646,288.15
6900,1.9596663,0.01106635,0.01106635,0.005533175,288.15
7200,2.001391,0.011301972,0.011301972,0.005650986,288.15
7500,2.0431154,0.011537593,0.011537593,0.0057687964,288.15
7800,2.08484,0.011773215,0.011773215,0.0058866073,288.15
8100,2.1265647,0.012008836,0.012008836,0.006004418,288.15
8400,2.1682892,0.012244457,0.012244457,0.0061222287,288.15
8700,2.2100139,0.012480078,0.012480078,0.006240039,288.15
9000,2.2517385,0.0127157,0.0127157,0.00635785,288.15
9300,2.2934632,0.012951321,0.012951321,0.0064756605,288.15
9600,2.3351877,0.013186943,0.013186943,0.0065934714,288.15
9900,2.3769124,0.013422564,0.013422564,0.006711282,288.15
10200,2.418637,0.0136581855,0.0136581855,0.0068290927,288.15
10500,2.4603617,0.013893806,0.013893806,0.006946903,288.15
10800,2.5020862,0.014129428,0.014129428,0.007064714,288.15
11100,2.5438108,0.014365049,0.014365049,0.0071825245,288.15
11400,2.5855355,0.014600671,0.014600671,0.0073003354,288.15
11700,2.62726,0.014836292,0.014836292,0.007418146,288.15
12000,2.6689847,0.015071914,0.015071914,0.007535957,288.15
12300,2.7107093,0.015307535,0.015307535,0.0076537677,288.15
12600,2.752434,0.015543156,0.015543156,0.007771578,288.15
12900,2.7941585,0.015778778,0.015778778,0.007889389,288.15
